"lat","long","magnitude","depth"
-38.03302,176.8013,2.281,5.266
-45.48392,167.01617,2.512,74.7296
-43.24356,173.19429,2.1,12
-39.61845,176.71281,1.869,32.4915
-38.69109,178.57623,3.559,33
-40.94142,174.48424,2.354,69.9143
-38.33209,177.94002,2.438,30.5973
-38.69904,178.54091,3.532,28.2292
-38.68966,178.42659,2.364,25.878
-38.67009,178.37164,2.504,25.167
-43.46035,171.66136,2.053,5
-45.05179,167.44431,2.276,52.882
-39.49026,175.70709,2.731,11.5845
-39.51077,175.71259,1.753,13.8473
-40.21344,176.42162,2.477,48.8439
-43.51881,171.6396,2.506,5
-38.04071,176.80435,2.245,5
-45.10626,167.43117,2.341,84.8887
-38.24853,178.3446,2.943,30.8589
-39.49573,175.71368,1.684,14.0904
-39.50751,175.70714,1.838,13.7637
-40.03402,176.80804,2.787,44.692
-39.71959,176.93919,2.171,34.8536
-38.60891,176.40952,2.296,5
-38.11086,177.01852,2.055,5
-40.36577,176.31351,1.639,24.1401
-42.28457,172.67569,2.493,5
-46.31028,166.72604,2.481,5
-39.61202,176.91638,2.57,32.6311
-40.88042,174.75224,2.009,17.9633
-39.27947,173.79535,2.483,21.7769
-38.8849,177.99867,2.708,28.2742
-39.3481,173.87781,1.898,27.0359
-38.0278,176.80051,1.902,5
-38.35171,178.40799,2.396,12
-39.28482,173.83144,1.881,23.1951
-39.74415,176.85158,2.47,45.0282
-37.22775,177.25237,3.315,134.0964
-43.51015,171.64442,1.707,5
-38.61267,176.4059,1.927,5
-38.68587,178.43462,2.91,24.7181
-45.34767,167.21988,2.887,109.0821
-41.88088,171.89095,1.939,12
-39.27773,173.82693,1.225,24.3514
-39.29342,173.84364,1.41,23.5154
-40.65604,176.36682,2.237,28.0409
-37.39257,177.13168,3.242,137.588
-39.51191,175.70967,1.523,13.9231
-40.87634,172.92079,2.314,5
-39.54856,177.11009,2.073,32.2353
-40.32326,176.54718,1.611,19.1184
-44.93909,169.91135,1.842,5
-40.3502,176.31474,1.618,30.3635
-38.53519,177.89911,1.7,24.8641
-38.99367,175.18095,1.351,5
-39.78738,177.26416,2.239,23.7313
-40.87278,172.91631,2.109,5
-39.79191,176.84995,1.849,35.5268
-39.90605,176.8409,3.325,53.2274
-40.10302,176.29324,2.695,20.2899
-37.44797,176.56187,2.834,182.1872
-39.20853,173.83942,2.14,11.2771
-39.67465,175.74683,2.129,12
-38.44191,175.99522,3.095,154.9599
-38.8208,174.54466,1.916,12
-39.80689,176.92255,1.875,25.7434
-38.69726,178.50374,2.788,28.3255
-38.64866,178.45943,1.592,28.8352
-39.94027,176.59367,1.648,42.2198
-38.37937,178.52245,2.508,26.7405
-38.71404,178.59645,2.797,44.7883
-41.89128,171.94264,2.414,5
-41.89041,171.93608,1.571,5
-39.12284,175.6667,1.292,3.4932
-38.34991,176.29385,3.933,116.937
-39.21339,174.77043,3.591,223.1508
-44.68201,168.4431,1.908,5
-41.16741,175.06273,1.937,19.7984
-41.33172,172.38678,2.31,5
-37.875,176.45625,2.332,143.2687
-44.37347,169.1096,1.636,12
-39.20819,174.77782,1.706,31.6146
-37.78866,176.7677,2.262,5
-41.24387,172.97372,2.478,98.6092
-41.40049,174.00401,2.759,74.6919
-43.92633,173.10605,2.007,25.2527
-40.61385,176.49701,2.031,32.0523
-40.61197,173.95876,1.724,65.4416
-45.46095,166.98163,2.473,75.0513
-40.78767,176.20616,1.845,30.7272
-40.30853,176.34988,1.588,28.2885
-39.29481,177.13953,1.788,29.5938
-40.64487,174.80019,1.897,33
-39.28001,175.56,0.546,0
-38.68823,178.42661,2.329,21.8292
-41.95869,172.19643,2.496,84.2382
-39.48396,175.70294,2.658,12
-39.65546,176.83057,1.904,32.3027
-41.56751,174.28055,1.912,18.9951
-40.29974,176.21306,1.753,23.1641
-39.49956,175.68738,1.786,12.6053
-39.50551,175.71555,1.615,14.1142
-38.7034,178.48952,2.898,25.1229
-46.1479,167.77776,2.486,12
-39.28001,175.56,0.605,0
-46.14335,167.78915,4.512,12
-40.43352,174.48334,2.204,33
-39.13845,176.68433,2.339,70.1977
-39.22998,177.52432,2.193,53.6663
-41.23898,175.23622,1.922,18.6749
-41.711,174.01337,2.551,7.4354
-40.05103,176.59737,2.05,43.2566
-38.68184,178.6111,2.728,29.9888
-40.65381,175.43823,2.007,29.0183
-37.88113,179.09053,2.556,33
-41.79701,172.23915,2.303,5
-43.48604,171.60712,2.326,5
-40.69132,176.02278,1.683,28.5888
-40.40556,176.20674,2.599,29.9406
-39.09626,177.40111,2.612,30.6799
-38.32006,178.49915,2.559,35.8247
-39.62381,176.96251,2.75,39.4698
-39.22243,174.82312,3.225,207.6314
-38.82045,175.61609,2.674,138.7989
-38.20432,175.96918,2.801,108.3319
-40.75987,174.73291,1.731,12
-37.04256,177.26286,2.75,161.6791
-39.17907,173.86189,2.334,18.3448
-40.26932,175.10081,1.63,5
-40.72073,176.35878,2.09,27.2275
-41.5942,173.49905,1.936,51.0681
-39.62804,173.42915,2.3,12
-45.02331,167.44289,2.994,84.3985
-41.46702,173.19003,2.372,71.7632
-40.81814,175.14951,1.154,12.1776
-41.50373,175.52844,1.834,19.9681
-38.6867,178.46095,2.727,25.4854
-38.55763,177.85188,1.63,29.1163
